Gruppe	Geschlecht	Subject_id	Ort	Dia	Alter	NDeu	NEngl	NMathe	Gminiq3	Soz	Schule	Klasse
0	0	20130	HRO	KG	13	2	2	1	22	2	Don Bosco	7b
0	0	20131	HRO	KG	13	2	2	2	27	2	Don Bosco	7b
0	0	20132	HRO	KG	14	1	1	2	41	2	CJD	8b
0	0	20133	HRO	KG	13	2	2	2	27	2	CJD	8b
0	0	20135	HRO	KG	16	3	2	1	44	2	Don Bosco 	10e
0	0	20136	HRO	KG	16	2	2	2	31	2	Don Bosco 	10e
0	0	20140	HRO	KG	13	2	1	1	30	2	Ecolea	7b
0	0	20141	HRO	KG	13	2	3	3	29	2	Ecolea	7b
0	0	20142	HRO	KG	12	2	2	2	28	2	Ecolea	6b
0	0	20145	HRO	KG	13	1	2	1	25	2	Ecolea	7c
0	0	20146	HRO	KG	13	1	2	2	28	2	Ecolea	8a
0	0	20148	HRO	KG	15	2	1	1	46	2	Ecolea	9a
0	0	20149	HRO	KG	15	3	3	5	46	2	Ecolea	9a
0	0	20150	HRO	KG	12	3	3	2	27	2	Ecolea	6b
0	0	20151	HRO	KG	12	2	2	2	19	2	Ecolea	6b
0	0	20156	HRO	KG	15	2	1	1	33	2	Ecolea	10b
0	0	20157	HRO	KG	14	2	2	2	29	2	Don Bosco	8b
0	0	20158	HRO	KG	13	3	3	3	20	2	Don Bosco	8b
0	0	20161	HRO	KG	12	3	2	2	21	2	Don Bosco	5a
0	0	20162	HRO	KG	11	3	2	2	26	2	Don Bosco	5a
0	0	20165	HRO	KG	15	2	2	1	43	2	Ecolea	9a
0	0	20166	HRO	KG	14	3	2	4	54	2	Ecolea	9b
0	0	20167	HRO	KG	14	1	2	2	37	2	Don Bosco	7b
0	0	20168	HRO	KG	13	3	2	3	29	2	Don Bosco	7b
0	1	21046	HRO	KG	11	1	1	1	28	2	CJD	5b
0	1	21049	HRO	KG	11	1	1	1	29	2	CJD	5b
0	1	21053	HRO	KG	11	1	1	2	26	2	CJD	5b
0	1	21059	HRO	KG	13	1	2	2	52	2	CJD	7b
0	1	21060	HRO	KG	12	1	1	2	42	2	CJD	7b
0	1	21064	HRO	KG	13	1	2	2	23	2	CJD	7b
0	1	21066	HRO	KG	13	2	2	3	32	2	CJD	7b
0	1	21068	HRO	KG	16	1	1	2	42	2	CJD	10b
0	1	21070	HRO	KG	16	1	1	2	47	2	CJD	10b
0	1	21073	HRO	KG	16	2	1	2	64	2	CJD	10b
0	1	21076	HRO	KG	12	1	1	2	29	2	CJD	6b
0	1	21077	HRO	KG	12	1	1	2	35	2	CJD	6b
0	1	21082	HRO	KG	12	2	2	2	25	2	CJD	6b
0	1	21083	HRO	KG	12	2	1	3	32	2	CJD	6b
0	1	21089	HRO	KG	17	1	1	2	31	2	CJD	11b
0	1	21090	HRO	KG	16	1	1	2	33	2	CJD	11b
0	1	21091	HRO	KG	16	1	1	2	36	2	CJD	11b
0	1	21092	HRO	KG	17	3	3	4	43	2	CJD	11b
0	1	21094	HRO	KG	14	2	2	2	37	2	CJD	8b
0	1	21095	HRO	KG	14	2	1	2	31	2	CJD	8b
0	1	21097	HRO	KG	14	1	1	1	29	2	CJD	8b
0	1	21099	HRO	KG	14	2	3	2	45	2	CJD	8b
0	1	21103	HRO	KG	14	1	2	1	28	2	CJD	8b
0	1	20107	HRO	KG	14	1	2	1	44	2	CJD	8b
0	1	21108	HRO	KG	14	1	1	1	39	2	CJD	8b
0	1	21109	HRO	KG	14	4	4	4	40	2	CJD	8b
0	1	21110	HRO	KG	14	2	2	1	28	2	CJD	8b
0	1	21112	HRO	KG	16	2	1	1	49	2	CJD	10b
0	1	21113	HRO	KG	16	1	1	2	55	2	CJD	10b
0	1	21114	HRO	KG	15	1	1	2	48	2	CJD	10b
0	1	21115	HRO	KG	11	2	1	1	8	2	Don Bosco	5a
0	1	21116	HRO	KG	11	2	1	1	23	2	Don Bosco	5a
0	1	21121	HRO	KG	11	2	1	1	25	2	Don Bosco	6b
0	1	21122	HRO	KG	12	3	2	2	21	2	Don Bosco	6b
0	1	21123	HRO	KG	12	2	2	2	28	2	Don Bosco	6b
0	1	21124	HRO	KG	12	2	2	3	31	2	Don Bosco	6b
0	1	21125	HRO	KG	12	1	1	1	31	2	Don Bosco	6b
0	1	21127	HRO	KG	13	3	3	3	11	2	Don Bosco	7b
0	1	21128	HRO	KG	13	1	2	1	42	2	Don Bosco	7b
0	1	21129	HRO	KG	13	2	3	2	23	2	Don Bosco	7b
0	1	21134	HRO	KG	16	3	3	1	32	2	Don Bosco 	10e
0	1	21137	HRO	KG	16	2	1	1	46	2	Don Bosco 	10e
0	1	21138	HRO	KG	16	2	1	1	31	2	Don Bosco 	10e
0	1	21139	HRO	KG	16	2	2	3	34	2	Don Bosco 	10e
0	1	21143	HRO	KG	14	2	3	3	33	2	Ecolea	8b
0	1	21147	HRO	KG	11	1	2	2	33	2	Ecolea	5a
0	1	21152	HRO	KG	11	2	3	3	22	2	Ecolea	5c
0	1	21153	HRO	KG	15	2	2	2	35	2	Ecolea	9c
0	1	21154	HRO	KG	15	1	1	1	35	2	Ecolea	9c
0	1	21155	HRO	KG	15	2	1	4	33	2	Ecolea	9c
0	1	21159	HRO	KG	14	2	2	2	27	2	Don Bosco	8a
0	1	21160	HRO	KG					25	2	Don Bosco	5a
0	1	21163	HRO	KG	11	2	2	3	31	2	Ecolea	5b
0	1	21164	HRO	KG	18	2	2	1	35	2	Ecolea	11/2f
0	1	21169	HRO	KG	13	2	3	2	27	2	Don Bosco	7b
0	1	21170	HRO	KG	14	2	1	1	25	2	Don Bosco	7b
0	1	21171	HRO	KG	13	1	1	2	33	2	Don Bosco	7b
